----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|      Название книги     |       Издательство      |   Количество страниц   | Вид литературы |       Отрасль      | Отечественная | Переводная | Год издания | Роман | Пьеса | Стихи | Сказки | Детские стихи |
|                  Name_12|      Publishing house_12|                     932| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |   Да  |   -    |       -       |
|                  Name_13|      Publishing house_13|                     119|   Техническая  |             Testing|      Да       |     Да     |         2009|   -   |   -   |   -   |   -    |       -       |
|                  Name_14|      Publishing house_14|                     497|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                  Name_15|      Publishing house_15|                     356|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                  Name_16|      Publishing house_16|                       7|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_17|      Publishing house_17|                     352|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_18|      Publishing house_18|                     801| Художественная |          -         |       -       |      -     |      -      |  Нет  |   Да  |   Да  |   -    |       -       |
|                  Name_19|      Publishing house_19|                     656|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                  Name_20|      Publishing house_20|                      42|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_21|      Publishing house_21|                       1|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_22|      Publishing house_22|                     571|   Техническая  |     Web-development|      Да       |     Нет    |         1817|   -   |   -   |   -   |   -    |       -       |
|                  Name_23|      Publishing house_23|                     625|   Техническая  |            Geometry|      Нет      |     Да     |         1901|   -   |   -   |   -   |   -    |       -       |
|                  Name_24|      Publishing house_24|                     187|   Техническая  |            Geometry|      Да       |     Нет    |         1900|   -   |   -   |   -   |   -    |       -       |
|                  Name_25|      Publishing house_25|                     913| Художественная |          -         |       -       |      -     |      -      |  Нет  |   Да  |   Да  |   -    |       -       |
|                  Name_26|      Publishing house_26|                     521|   Техническая  |            Calculus|      Да       |     Нет    |         2006|   -   |   -   |   -   |   -    |       -       |
|                  Name_27|      Publishing house_27|                     503|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                  Name_28|      Publishing house_28|                     988|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                  Name_29|      Publishing house_29|                     188|   Техническая  |            Geometry|      Нет      |     Да     |         1990|   -   |   -   |   -   |   -    |       -       |
|                  Name_30|      Publishing house_30|                     209| Художественная |          -         |       -       |      -     |      -      |  Нет  |   Да  |   Да  |   -    |       -       |
|                  Name_31|      Publishing house_31|                     900|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                  Name_32|      Publishing house_32|                     952| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |  Нет  |   -    |       -       |
|                  Name_33|      Publishing house_33|                     905|   Техническая  |         Programming|      Нет      |     Нет    |         2025|   -   |   -   |   -   |   -    |       -       |
|                  Name_34|      Publishing house_34|                     860|   Техническая  |            Calculus|      Да       |     Нет    |         1866|   -   |   -   |   -   |   -    |       -       |
|                  Name_35|      Publishing house_35|                     219|   Техническая  |             Testing|      Да       |     Нет    |         1904|   -   |   -   |   -   |   -    |       -       |
|                  Name_36|      Publishing house_36|                      61|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_37|      Publishing house_37|                     365|   Техническая  |     Web-development|      Да       |     Да     |         2016|   -   |   -   |   -   |   -    |       -       |
|                  Name_38|      Publishing house_38|                     319|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_39|      Publishing house_39|                     993|   Техническая  |            Geometry|      Нет      |     Да     |         1915|   -   |   -   |   -   |   -    |       -       |
|                  Name_40|      Publishing house_40|                     730| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |  Нет  |   -    |       -       |
|                  Name_41|      Publishing house_41|                     948|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_42|      Publishing house_42|                     760|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_43|      Publishing house_43|                     143| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |   Да  |   -    |       -       |
|                  Name_44|      Publishing house_44|                     149|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                  Name_45|      Publishing house_45|                     417|   Техническая  |            Geometry|      Да       |     Нет    |         1925|   -   |   -   |   -   |   -    |       -       |
|                  Name_46|      Publishing house_46|                     112|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                  Name_47|      Publishing house_47|                      53|   Техническая  |                Data|      Да       |     Да     |         1976|   -   |   -   |   -   |   -    |       -       |
|                  Name_48|      Publishing house_48|                      77|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_49|      Publishing house_49|                     728|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                  Name_50|      Publishing house_50|                     870|   Техническая  |     Web-development|      Да       |     Нет    |         1920|   -   |   -   |   -   |   -    |       -       |
|                  Name_51|      Publishing house_51|                     604|   Техническая  |             Testing|      Да       |     Нет    |         1939|   -   |   -   |   -   |   -    |       -       |
|                  Name_52|      Publishing house_52|                     702|   Техническая  |                Data|      Нет      |     Нет    |         2012|   -   |   -   |   -   |   -    |       -       |
|                  Name_53|      Publishing house_53|                     563| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |  Нет  |   -    |       -       |
|                  Name_54|      Publishing house_54|                     467|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                  Name_55|      Publishing house_55|                     528|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_56|      Publishing house_56|                     520| Художественная |          -         |       -       |      -     |      -      |  Нет  |  Нет  |  Нет  |   -    |       -       |
|                  Name_57|      Publishing house_57|                     477|   Техническая  |         Programming|      Нет      |     Нет    |         2000|   -   |   -   |   -   |   -    |       -       |
|                  Name_58|      Publishing house_58|                     719|   Техническая  |      Linear algebra|      Да       |     Да     |         1949|   -   |   -   |   -   |   -    |       -       |
|                  Name_59|      Publishing house_59|                     751| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |  Нет  |   -    |       -       |
|                  Name_60|      Publishing house_60|                     695| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |  Нет  |   -    |       -       |
|                  Name_61|      Publishing house_61|                     616|   Техническая  |                Data|      Нет      |     Нет    |         1917|   -   |   -   |   -   |   -    |       -       |
|                  Name_62|      Publishing house_62|                     404| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |   Да  |   -    |       -       |
|                  Name_63|      Publishing house_63|                     936|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                  Name_64|      Publishing house_64|                     563|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_65|      Publishing house_65|                      51|   Техническая  |             Testing|      Да       |     Нет    |         1940|   -   |   -   |   -   |   -    |       -       |
|                  Name_66|      Publishing house_66|                     809|   Техническая  |         Programming|      Нет      |     Да     |         1853|   -   |   -   |   -   |   -    |       -       |
|                  Name_67|      Publishing house_67|                     209|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_68|      Publishing house_68|                     634|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_69|      Publishing house_69|                      31|   Техническая  |                Math|      Нет      |     Нет    |         1873|   -   |   -   |   -   |   -    |       -       |
|                  Name_70|      Publishing house_70|                     165|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                  Name_71|      Publishing house_71|                     458|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                  Name_72|      Publishing house_72|                     229|   Техническая  |                Data|      Да       |     Нет    |         1924|   -   |   -   |   -   |   -    |       -       |
|                  Name_73|      Publishing house_73|                     243|   Техническая  |             Testing|      Нет      |     Нет    |         1807|   -   |   -   |   -   |   -    |       -       |
|                  Name_74|      Publishing house_74|                     912| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |  Нет  |   -    |       -       |
|                  Name_75|      Publishing house_75|                      92| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |  Нет  |   -    |       -       |
|                  Name_76|      Publishing house_76|                     437| Художественная |          -         |       -       |      -     |      -      |  Нет  |   Да  |   Да  |   -    |       -       |
|                  Name_77|      Publishing house_77|                     273|   Техническая  |      Linear algebra|      Да       |     Нет    |         2026|   -   |   -   |   -   |   -    |       -       |
|                  Name_78|      Publishing house_78|                     859|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                  Name_79|      Publishing house_79|                     484| Художественная |          -         |       -       |      -     |      -      |  Нет  |  Нет  |   Да  |   -    |       -       |
|                  Name_80|      Publishing house_80|                     454| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |   Да  |   -    |       -       |
|                  Name_81|      Publishing house_81|                     883|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_82|      Publishing house_82|                     847|   Техническая  |                Math|      Нет      |     Нет    |         1834|   -   |   -   |   -   |   -    |       -       |
|                  Name_83|      Publishing house_83|                     133|   Техническая  |      Linear algebra|      Нет      |     Да     |         1928|   -   |   -   |   -   |   -    |       -       |
|                  Name_84|      Publishing house_84|                     506|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_85|      Publishing house_85|                     118|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_86|      Publishing house_86|                     975| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |  Нет  |   -    |       -       |
|                  Name_87|      Publishing house_87|                     379| Художественная |          -         |       -       |      -     |      -      |  Нет  |  Нет  |  Нет  |   -    |       -       |
|                  Name_88|      Publishing house_88|                     430| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |   Да  |   -    |       -       |
|                  Name_89|      Publishing house_89|                     179|   Техническая  |            Calculus|      Нет      |     Да     |         1863|   -   |   -   |   -   |   -    |       -       |
|                  Name_90|      Publishing house_90|                      55|   Техническая  |                Math|      Да       |     Да     |         1917|   -   |   -   |   -   |   -    |       -       |
|                  Name_91|      Publishing house_91|                     897|   Техническая  |                Math|      Да       |     Нет    |         1964|   -   |   -   |   -   |   -    |       -       |
|                  Name_92|      Publishing house_92|                     506|   Техническая  |                Math|      Нет      |     Да     |         1866|   -   |   -   |   -   |   -    |       -       |
|                  Name_93|      Publishing house_93|                     852|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_94|      Publishing house_94|                     616|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                  Name_95|      Publishing house_95|                     185|   Техническая  |            Geometry|      Да       |     Нет    |         1853|   -   |   -   |   -   |   -    |       -       |
|                  Name_96|      Publishing house_96|                     110|   Техническая  |     Web-development|      Нет      |     Да     |         1922|   -   |   -   |   -   |   -    |       -       |
|                  Name_97|      Publishing house_97|                     605|   Техническая  |             Testing|      Да       |     Да     |         2011|   -   |   -   |   -   |   -    |       -       |
|                  Name_98|      Publishing house_98|                     680| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |  Нет  |   -    |       -       |
|                  Name_99|      Publishing house_99|                     832| Художественная |          -         |       -       |      -     |      -      |  Нет  |  Нет  |  Нет  |   -    |       -       |
|                 Name_100|     Publishing house_100|                     666| Художественная |          -         |       -       |      -     |      -      |  Нет  |   Да  |   Да  |   -    |       -       |
|                 Name_101|     Publishing house_101|                     922|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                 Name_102|     Publishing house_102|                     957| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |  Нет  |   -    |       -       |
|                 Name_103|     Publishing house_103|                     232|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                 Name_104|     Publishing house_104|                     609| Художественная |          -         |       -       |      -     |      -      |  Нет  |  Нет  |  Нет  |   -    |       -       |
|                 Name_105|     Publishing house_105|                     152|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                 Name_106|     Publishing house_106|                     704| Художественная |          -         |       -       |      -     |      -      |  Нет  |   Да  |   Да  |   -    |       -       |
|                 Name_107|     Publishing house_107|                     128|   Техническая  |      Linear algebra|      Да       |     Да     |         2014|   -   |   -   |   -   |   -    |       -       |
|                 Name_108|     Publishing house_108|                     164| Художественная |          -         |       -       |      -     |      -      |  Нет  |  Нет  |   Да  |   -    |       -       |
|                 Name_109|     Publishing house_109|                     829| Художественная |          -         |       -       |      -     |      -      |  Нет  |  Нет  |  Нет  |   -    |       -       |
|                 Name_110|     Publishing house_110|                     451|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                 Name_111|     Publishing house_111|                     379|   Техническая  |             Testing|      Нет      |     Да     |         1990|   -   |   -   |   -   |   -    |       -       |
|                 Name_112|     Publishing house_112|                      78|   Техническая  |                Data|      Да       |     Нет    |         1868|   -   |   -   |   -   |   -    |       -       |
|                 Name_113|     Publishing house_113|                     402|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                 Name_114|     Publishing house_114|                     976|   Техническая  |             Testing|      Да       |     Нет    |         1974|   -   |   -   |   -   |   -    |       -       |
|                 Name_115|     Publishing house_115|                     761|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                 Name_116|     Publishing house_116|                     805| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |  Нет  |   -    |       -       |
|                 Name_117|     Publishing house_117|                     757| Художественная |          -         |       -       |      -     |      -      |  Нет  |   Да  |   Да  |   -    |       -       |
|                 Name_118|     Publishing house_118|                     856|   Техническая  |         Programming|      Нет      |     Да     |         1987|   -   |   -   |   -   |   -    |       -       |
|                 Name_119|     Publishing house_119|                     338| Художественная |          -         |       -       |      -     |      -      |  Нет  |  Нет  |  Нет  |   -    |       -       |
|                 Name_120|     Publishing house_120|                     970|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                 Name_121|     Publishing house_121|                     596| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |  Нет  |   -    |       -       |
|                 Name_122|     Publishing house_122|                       7|   Техническая  |            Calculus|      Да       |     Да     |         1968|   -   |   -   |   -   |   -    |       -       |
|                 Name_123|     Publishing house_123|                     854|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                 Name_124|     Publishing house_124|                     449|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                 Name_125|     Publishing house_125|                     821| Художественная |          -         |       -       |      -     |      -      |  Нет  |   Да  |   Да  |   -    |       -       |
|                 Name_126|     Publishing house_126|                     267| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |   Да  |   -    |       -       |
|                 Name_127|     Publishing house_127|                     983|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                 Name_128|     Publishing house_128|                     596| Художественная |          -         |       -       |      -     |      -      |  Нет  |   Да  |  Нет  |   -    |       -       |
|                 Name_129|     Publishing house_129|                     213|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                 Name_130|     Publishing house_130|                     397| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |  Нет  |   -    |       -       |
|                 Name_131|     Publishing house_131|                     513|   Техническая  |     Web-development|      Да       |     Нет    |         2000|   -   |   -   |   -   |   -    |       -       |
|                 Name_132|     Publishing house_132|                     866|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                 Name_133|     Publishing house_133|                     922| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |   Да  |   -    |       -       |
|                 Name_134|     Publishing house_134|                     899| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |  Нет  |   -    |       -       |
|                 Name_135|     Publishing house_135|                     432| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |  Нет  |   -    |       -       |
|                 Name_136|     Publishing house_136|                     186|   Техническая  |      Linear algebra|      Нет      |     Нет    |         1987|   -   |   -   |   -   |   -    |       -       |
|                 Name_137|     Publishing house_137|                     187|   Техническая  |            Calculus|      Нет      |     Да     |         1807|   -   |   -   |   -   |   -    |       -       |
|                 Name_138|     Publishing house_138|                     619| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |   Да  |   -    |       -       |
|                 Name_139|     Publishing house_139|                     553|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                 Name_140|     Publishing house_140|                     175| Художественная |          -         |       -       |      -     |      -      |   Да  |   Да  |   Да  |   -    |       -       |
|                 Name_141|     Publishing house_141|                      97|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Нет     |
|                 Name_142|     Publishing house_142|                     238| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |   Да  |   -    |       -       |
|                 Name_143|     Publishing house_143|                     100|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                 Name_144|     Publishing house_144|                     902|   Техническая  |                Math|      Да       |     Нет    |         1994|   -   |   -   |   -   |   -    |       -       |
|                 Name_145|     Publishing house_145|                     669| Художественная |          -         |       -       |      -     |      -      |  Нет  |   Да  |  Нет  |   -    |       -       |
|                 Name_146|     Publishing house_146|                     977| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |  Нет  |   -    |       -       |
|                 Name_147|     Publishing house_147|                     703|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                 Name_148|     Publishing house_148|                     956|   Техническая  |         Programming|      Да       |     Нет    |         1858|   -   |   -   |   -   |   -    |       -       |
|                 Name_149|     Publishing house_149|                     917|   Техническая  |     Web-development|      Да       |     Нет    |         1904|   -   |   -   |   -   |   -    |       -       |
|                     Name|                    House|                     100|   Техническая  |                Hoho|      Нет      |     Да     |         1000|   -   |   -   |   -   |   -    |       -       |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

